RunID,Max_Deflection,Max_Velocity,Settling_Time,Mass,K_Stiffness,B_Damping,Fault_Code,RUL
1,0.3,0.592124055029555,0.330689145056254,4653.50342455608,156086.879056134,3850.7947265174,0,97.2208552958977
2,0.3,0.61910313758583,0.345473456888022,3187.52607681994,143963.106074991,3911.39928754682,0,94.4853886933811
3,0.3,0.589438572702807,0.330372467876401,4882.37112704246,156973.328027989,3863.04523267102,0,99.3626025315145
4,0.3,0.594537158741703,0.348993701441088,1567.54535450886,149780.634730843,4120.11218755552,0,99.3575042236442
5,0.3,0.5796176783522,0.341858346516196,4837.96970557161,156236.032877836,4116.88293182382,0,91.3264192393941
6,0.3,0.609906809228232,0.357883135518771,4735.9729910302,143035.675178613,4139.65172234751,0,94.8361104873488
7,0.3,0.585983592366157,0.343522614978648,2568.90807813667,153866.101958675,4097.25298724997,0,95.1810273228666
8,0.3,0.607744025938582,0.352470726390478,1127.33138550968,145067.800317173,4082.41843520784,0,94.8321683526633
9,0.3,0.624830598767069,0.342935319815964,4293.83131330917,143192.570859467,3838.85271249434,0,89.1538447744133
10,0.3,0.59770464379847,0.354795081557188,1137.78432201164,147256.492200913,4180.08881953534,0,95.4224293446373
11,0.3,0.598919799761053,0.350176823393291,4180.79960454825,148223.376856395,4106.2067152596,0,91.581165394846
12,0.3,0.601144317893864,0.342195828165941,3585.25204044506,149846.465936823,3978.23448028436,0,87.8030890683157
13,0.3,0.594768369090986,0.335266901754006,3718.8107074147,153820.300229735,3910.41003079943,0,95.6404724628711
14,0.3,0.61988385243866,0.341455886676542,2993.45620792857,144939.176027919,3847.59907262335,0,94.8264700596076
15,0.3,0.603896855255432,0.347154906604753,1895.24775796455,147605.785899992,4034.10710039191,0,99.3961593777412
16,0.3,0.608596271181395,0.347123186900541,3796.30689062674,146326.426731889,4002.38282066606,0,96.2690058895848
17,0.3,0.582515505591338,0.336842369279472,1554.49777131472,156889.371378082,4018.88621198552,0,98.363548788037
18,0.3,0.601956441146697,0.353632061762073,2017.12871588612,146362.623811856,4136.28690239347,0,87.2394100833859
19,0.3,0.600751478699476,0.355843042552306,2399.93506393924,146152.874530875,4171.70544927489,0,97.2142723910322
20,0.3,0.606573595935606,0.349386610689358,2893.15539561092,146266.25786964,4046.41787045866,0,87.9489287564681
21,0.3,0.586313567144909,0.339464290592962,3198.89443316456,154962.429418444,4034.10563646109,0,90.2748926059449
22,0.3,0.602545916022996,0.351628669247306,4014.91637711398,146787.585282306,4102.88009164429,0,98.7579049574472
23,0.3,0.605450162392367,0.33465500611176,1215.80047466643,151017.324610878,3830.34171582523,0,90.7066877046304
24,0.3,0.58177124475984,0.346846556080488,1519.62483389492,154187.50845153,4173.60427369167,0,92.9619632951346
25,0.3,0.610390810041194,0.33503881937872,2348.49057759553,149540.859615873,3804.7608278005,0,93.5323549130829
26,0.3,0.592683612740249,0.335199922039364,3114.13254202485,154414.268110259,3924.48601681792,0,87.4327346228986
27,0.3,0.600562448448916,0.337301284487857,3616.31639390713,151529.729121025,3905.18851381606,0,87.4847309424967
28,0.3,0.591729563978579,0.338326595803018,1335.28551198773,153722.273892356,3980.216639401,0,95.3382175471001
29,0.3,0.591379815926018,0.330998168677641,4303.26790995819,156200.060422525,3860.95120758769,0,88.4346545307523
30,0.3,0.589791614690019,0.328648713643798,2770.71307910179,157442.020749403,3831.27021150127,0,93.0751365289008
31,0.3,0.592388471950674,0.328019146357172,4099.64185884601,156928.471212826,3801.85368965363,0,86.5997915527088
32,0.3,0.594258655632876,0.330535757921985,2599.13059639559,155530.420580453,3833.77433820436,0,97.2595483098015
33,0.3,0.590236825922892,0.337214130822656,4642.59037771809,154501.027203365,3972.56553098542,0,88.8980560427598
34,0.3,0.615480771281454,0.340373266929418,1544.27423483466,146457.04374783,3858.21559215389,0,87.7277054245428
35,0.3,0.595894123187462,0.342758361979615,1579.81919289491,151195.568810484,4019.94408073453,0,98.0393831146013
36,0.3,0.59814564702237,0.338475704816148,3052.99815946821,151830.826972276,3940.38095235691,0,97.7954667658284
37,0.3,0.620720912768364,0.345084134461236,1493.27573934066,143639.500375363,3895.96646142146,0,91.0271205062791
38,0.3,0.610921287050957,0.345672191108536,1198.61772130297,146099.287884974,3966.90682763375,0,87.7586168242362
39,0.3,0.584042126480299,0.336130454733928,2957.01055360008,156671.807845825,3996.34563698723,0,98.5407416487292
40,0.3,0.587839081957904,0.334738007747008,1444.81102117515,156000.807696265,3947.69871244809,0,90.0657911473207
41,0.3,0.608817367720594,0.340099465162557,2615.64858235246,148346.082554419,3896.67651436553,0,96.7037810248171
42,0.3,0.604546166493619,0.358146586595142,4824.53816091921,144479.599389095,4176.82023631019,0,86.4468178775258
43,0.3,0.621448118546544,0.345258796085194,2412.63428488828,143396.693144207,3893.91196534896,0,93.628128926177
44,0.3,0.627162399870578,0.342416075202073,1675.96011785082,142731.051564773,3817.20952066312,0,97.3179106029694
45,0.3,0.588650880111303,0.342177377054784,2803.69482572378,153475.83578488,4059.09838525452,0,94.7367321243468
46,0.3,0.60240722913871,0.35121555878497,1755.82006013018,146944.812084117,4097.87712282966,0,93.2051333842952
47,0.3,0.614015649159358,0.345672345701077,3502.47424291876,145252.667336059,3947.39383859613,0,95.3016315004797
48,0.3,0.606650007438608,0.35882833694581,4102.85071443361,143716.886532987,4171.75438838749,0,96.7034115272706
49,0.3,0.603092274543135,0.343017050492196,2225.39788806623,149037.878828714,3978.71349977192,0,92.3018744860476
50,0.3,0.593306713136768,0.348909140351974,4179.32566753381,150161.573462582,4127.0510833289,0,92.6276298307169
51,0.3,0.598144819659616,0.35116876666493,3131.30235519782,148179.140739904,4124.63218331299,0,94.6647719529054
52,0.3,0.577328345088721,0.343132506942057,3200.62537159369,156585.023429998,4150.37712459719,0,90.2609065536532
53,0.3,0.60217530094664,0.336576305959589,2204.98532111796,151305.670567971,3883.09691709321,0,94.3371262900184
54,0.3,0.602867385170167,0.354164292505467,1779.0571582682,145957.322403173,4137.72351707816,0,92.0638502277639
55,0.3,0.617352499580103,0.343312672064545,2742.7947364156,145060.620707218,3891.06571912662,0,88.388826714586
56,0.3,0.585898122108959,0.335429200888449,1739.26528049654,156350.694631549,3972.08295653183,0,89.6665342997562
57,0.3,0.583762768498032,0.334760206861695,1444.4768937624,157196.225675341,3975.54798925044,0,98.5732145301984
58,0.3,0.601216406083186,0.346331284964993,2048.84699112338,148630.797691688,4037.95842960345,0,88.870970438681
59,0.3,0.597369479423253,0.334907288788028,1469.67060342322,153168.236706505,3888.6986936069,0,94.0426463407312
60,0.3,0.607851024470696,0.344591754911072,3031.43313864447,147281.674528888,3969.66670388552,0,89.4501380982749
61,0.3,0.602545197864071,0.352826081954034,1116.88111024859,146437.233520475,4120.40584910789,0,86.2827369563507
62,0.3,0.591654518624921,0.339187886314271,3314.10024409376,153454.962942832,3995.44358952143,0,98.9328120921707
63,0.3,0.592417937570507,0.352752946258273,3187.22287495587,149382.732422699,4185.23541571477,0,88.5592536965728
64,0.3,0.609807279418767,0.347190110519957,3496.24035269476,145973.915800628,3995.55909756807,0,92.81703746206
65,0.3,0.606125715717653,0.342213011709719,4951.92801264653,148432.728235029,3946.97465941779,0,95.1870331129862
66,0.3,0.57850334352704,0.344742613784889,4184.73549434085,155777.520123037,4165.3147310557,0,85.5660829935933
67,0.3,0.611736349710199,0.34388271211902,3718.91180550935,146428.067758061,3934.14273598512,0,86.4806841798336
68,0.3,0.599198104220661,0.332965671068414,3615.02939467424,153318.412478726,3842.7047446429,0,87.0482970603306
69,0.3,0.585752500377928,0.342626347720962,4614.88224222527,154185.775848469,4086.01483136028,0,92.4126090495891
70,0.3,0.601921083564589,0.3496205073031,1791.23930674372,147512.445791062,4079.49833293392,0,98.3638375649618
71,0.3,0.590952583253049,0.339217216307534,2919.68856458424,153661.113905512,4000.00897423608,0,85.4581141945695
72,0.3,0.593534369133172,0.343485575196868,4437.76922258485,151647.999726338,4047.06655583538,0,98.5708335710104
73,0.3,0.603035917224445,0.336301286316711,1959.72804227487,151150.82273422,3873.16898776597,0,97.0823413679453
74,0.3,0.617401623890129,0.35063971038771,1671.70858272903,142930.112286962,3995.96055540489,0,98.2976789961415
75,0.3,0.592061665040124,0.339760151705866,2884.35349816776,153190.417075184,4000.18864966194,0,99.6802097446174
76,0.3,0.601875946940966,0.332501108420849,1285.78185840257,152729.578562236,3816.9724550003,0,85.8942830136946
77,0.3,0.608271560702203,0.356189237800254,4270.18836831715,143950.950386713,4127.25942154385,0,92.8247476369643
78,0.3,0.60945088561895,0.351845078118477,3074.37977004215,144747.981637169,4063.84210116332,0,95.8365938855026
